"service_uploaded","device_urn","loc_lat","loc_lon","env_temp","env_humid","pms_pm01_0","pms_pm02_5","pms_pm10_0"
"Jun 14, 2020 @ 02:11:36.000","safecast:3714913954","52.395","4.875",,,26,48,62
"Jun 14, 2020 @ 02:10:07.000","safecast:678194983","46.555","15.636",,,9,11,12
"Jun 14, 2020 @ 01:41:40.000","safecast:3714913954","52.395","4.875",,,26,47,64
"Jun 14, 2020 @ 01:40:07.000","safecast:678194983","46.555","15.636",,,9,12,12
"Jun 14, 2020 @ 01:11:35.000","safecast:3714913954","52.395","4.875",,,27,49,64
"Jun 14, 2020 @ 01:10:07.000","safecast:678194983","46.555","15.636",,,10,12,13
"Jun 14, 2020 @ 01:01:16.000","note:dev:865284040097945","34.122","-118.261",,,0,"0.08","0.08"
"Jun 14, 2020 @ 01:01:11.000","note:dev:865284040097945","34.122","-118.261",,,"0.08","0.93","1.98"
"Jun 14, 2020 @ 00:51:32.000","note:dev:865284040095238","34.122","-118.261",,,0,"0.7","0.7"
"Jun 14, 2020 @ 00:51:27.000","note:dev:865284040095238","34.122","-118.261",,,"0.08","1.35","1.73"
"Jun 14, 2020 @ 00:49:59.000","note:dev:865284040102018","25.038","121.507",,,18,"27.4","28.35"
"Jun 14, 2020 @ 00:49:54.000","note:dev:865284040102018","25.038","121.507",,,"16.3","26.58","29.85"
"Jun 14, 2020 @ 00:43:35.000","note:dev:865284040083945","35.665","139.705",,,"5.98","8.43","8.43"
"Jun 14, 2020 @ 00:43:30.000","note:dev:865284040083945","35.665","139.705",,,"17.4","26.88","27.83"
"Jun 14, 2020 @ 00:40:07.000","safecast:678194983","46.555","15.636",,,9,11,12
"Jun 14, 2020 @ 00:36:45.000","note:dev:865284040125720","37.739","-122.503",,,0,0,0
"Jun 14, 2020 @ 00:36:40.000","note:dev:865284040125720","37.739","-122.503",,,0,0,"0.98"
"Jun 14, 2020 @ 00:29:10.000","note:dev:865284040097879","34.065","-118.286",,,0,"1.98","3.9"
"Jun 14, 2020 @ 00:29:09.000","note:dev:865284040125878","34.483","136.163",,,"5.43","6.28","7.25"
"Jun 14, 2020 @ 00:29:05.000","note:dev:865284040097879","34.065","-118.286",,,0,"0.53","0.55"
"Jun 14, 2020 @ 00:29:03.000","note:dev:865284040125878","34.483","136.163",,,"3.35","4.75","5.15"
"Jun 14, 2020 @ 00:29:00.000","note:dev:865284040097879","34.065","-118.286",,,0,"0.25","1.1"
"Jun 14, 2020 @ 00:27:45.000","note:dev:865284040070785","34.122","-118.261",,,0,0,0
"Jun 14, 2020 @ 00:27:39.000","note:dev:865284040070785","34.122","-118.261",,,"1.1","2.25","2.55"
"Jun 14, 2020 @ 00:21:14.000","note:dev:865284040101085","34.172","-118.057",,,3,"4.22","4.22"
"Jun 14, 2020 @ 00:21:08.000","note:dev:865284040101085","34.172","-118.057",,,"3.15","3.55","4.43"
"Jun 14, 2020 @ 00:21:03.000","note:dev:865284040101085","34.172","-118.057",,,"2.9","4.95","6.18"
"Jun 14, 2020 @ 00:20:58.000","note:dev:865284040101085","34.172","-118.057",,,"2.95","3.98","4.63"
"Jun 14, 2020 @ 00:11:39.000","safecast:3714913954","52.395","4.875",,,28,49,64
"Jun 14, 2020 @ 00:10:07.000","safecast:678194983","46.555","15.636",,,10,13,14
"Jun 13, 2020 @ 23:44:12.000","safecast:3856112813","47.612","-122.345","19.876","44.435",0,0,0
"Jun 13, 2020 @ 23:41:36.000","safecast:3714913954","52.395","4.875",,,27,47,61
"Jun 13, 2020 @ 23:40:07.000","safecast:678194983","46.555","15.636",,,10,13,14
"Jun 13, 2020 @ 23:32:06.000","safecast:4267748403","34.122","-118.261","41.337","-18.701",0,0,0
"Jun 13, 2020 @ 23:23:52.000","note:dev:865284040125720","37.739","-122.503",,,0,0,0
"Jun 13, 2020 @ 23:23:47.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.75","2.03"
"Jun 13, 2020 @ 23:23:42.000","note:dev:865284040125720","37.739","-122.503",,,0,0,"0.1"
"Jun 13, 2020 @ 23:23:36.000","note:dev:865284040125720","37.739","-122.503",,,0,0,"1.33"
"Jun 13, 2020 @ 23:11:35.000","safecast:3714913954","52.395","4.875",,,26,45,57
"Jun 13, 2020 @ 23:10:07.000","safecast:678194983","46.555","15.636",,,11,14,14
"Jun 13, 2020 @ 23:01:26.000","note:dev:865284040097945","34.122","-118.261",,,"0.25","1.73","1.73"
"Jun 13, 2020 @ 23:01:20.000","note:dev:865284040097945","34.122","-118.261",,,"3.65","5.5","6.33"
"Jun 13, 2020 @ 22:51:41.000","note:dev:865284040095238","34.122","-118.261",,,"5.25","6.53","6.53"
"Jun 13, 2020 @ 22:51:36.000","note:dev:865284040095238","34.122","-118.261",,,"1.33","2.98","2.98"
"Jun 13, 2020 @ 22:43:32.000","note:dev:865284040083945","35.665","139.705",,,"20.08","31.93","39.4"
"Jun 13, 2020 @ 22:43:26.000","note:dev:865284040083945","35.665","139.705",,,"24.23","38.85","53.3"
"Jun 13, 2020 @ 22:41:37.000","safecast:3714913954","52.395","4.875",,,23,39,48
"Jun 13, 2020 @ 22:40:07.000","safecast:678194983","46.555","15.636",,,9,11,11
"Jun 13, 2020 @ 22:28:49.000","note:dev:865284040125878","34.483","136.163",,,"5.43","7.95","7.95"
"Jun 13, 2020 @ 22:28:43.000","note:dev:865284040125878","34.483","136.163",,,"7.85","12.8","13.35"
"Jun 13, 2020 @ 22:28:18.000","note:dev:865284040097879","34.065","-118.286",,,"1.38","4.88","5.55"
"Jun 13, 2020 @ 22:28:12.000","note:dev:865284040097879","34.065","-118.286",,,4,"5.75","5.75"
"Jun 13, 2020 @ 22:28:07.000","note:dev:865284040097879","34.065","-118.286",,,"2.93",4,"5.35"
"Jun 13, 2020 @ 22:28:02.000","note:dev:865284040097879","34.065","-118.286",,,"1.38",2,"2.15"
"Jun 13, 2020 @ 22:27:33.000","note:dev:865284040070785","34.122","-118.261",,,"3.15","4.53","4.53"
"Jun 13, 2020 @ 22:27:28.000","note:dev:865284040070785","34.122","-118.261",,,"4.55",7,8
"Jun 13, 2020 @ 22:23:46.000","note:dev:865284040125720","37.739","-122.503",,,0,0,0
"Jun 13, 2020 @ 22:23:41.000","note:dev:865284040125720","37.739","-122.503",,,0,0,"0.18"
"Jun 13, 2020 @ 22:23:36.000","note:dev:865284040125720","37.739","-122.503",,,0,0,"0.33"
"Jun 13, 2020 @ 22:23:30.000","note:dev:865284040125720","37.739","-122.503",,,0,0,0
"Jun 13, 2020 @ 22:22:01.000","note:dev:865284040101085","34.172","-118.057",,,"4.4","5.83","5.83"
"Jun 13, 2020 @ 22:21:55.000","note:dev:865284040101085","34.172","-118.057",,,"3.15",5,"5.15"
"Jun 13, 2020 @ 22:21:50.000","note:dev:865284040101085","34.172","-118.057",,,"3.68","4.97","5.53"
"Jun 13, 2020 @ 22:21:45.000","note:dev:865284040101085","34.172","-118.057",,,"3.18","4.33","4.33"
"Jun 13, 2020 @ 22:11:35.000","safecast:3714913954","52.395","4.875",,,23,38,46
"Jun 13, 2020 @ 22:10:07.000","safecast:678194983","46.555","15.636",,,9,12,13
"Jun 13, 2020 @ 21:41:36.000","safecast:3714913954","52.395","4.875",,,21,35,42
"Jun 13, 2020 @ 21:40:07.000","safecast:678194983","46.555","15.636",,,9,12,13
"Jun 13, 2020 @ 21:28:33.000","note:dev:865284040097879","34.065","-118.286",,,"4.03","4.72","5.2"
"Jun 13, 2020 @ 21:28:28.000","note:dev:865284040097879","34.065","-118.286",,,"5.05","8.3","9.82"
"Jun 13, 2020 @ 21:28:23.000","note:dev:865284040097879","34.065","-118.286",,,"2.85","4.65","4.65"
"Jun 13, 2020 @ 21:28:18.000","note:dev:865284040097879","34.065","-118.286",,,3,"4.25",5
"Jun 13, 2020 @ 21:24:16.000","note:dev:865284040125720","37.739","-122.503",,,0,0,"1.5"
"Jun 13, 2020 @ 21:24:11.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.1","0.13"
"Jun 13, 2020 @ 21:24:05.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.68","0.68"
"Jun 13, 2020 @ 21:24:00.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.9","3.08"
"Jun 13, 2020 @ 21:20:51.000","note:dev:865284040101085","34.172","-118.057",,,"5.3","6.95","7.95"
"Jun 13, 2020 @ 21:20:46.000","note:dev:865284040101085","34.172","-118.057",,,"6.15","7.73","7.73"
"Jun 13, 2020 @ 21:20:41.000","note:dev:865284040101085","34.172","-118.057",,,5,"5.6","6.43"
"Jun 13, 2020 @ 21:20:35.000","note:dev:865284040101085","34.172","-118.057",,,"7.83","8.75","9.25"
"Jun 13, 2020 @ 21:11:46.000","safecast:3714913954","52.395","4.875",,,16,26,29
"Jun 13, 2020 @ 21:10:07.000","safecast:678194983","46.555","15.636",,,10,13,14
"Jun 13, 2020 @ 21:01:37.000","note:dev:865284040097945","34.122","-118.261",,,"4.68","5.3","7.15"
"Jun 13, 2020 @ 21:01:32.000","note:dev:865284040097945","34.122","-118.261",,,"8.4","10.63","11.03"
"Jun 13, 2020 @ 21:01:27.000","note:dev:865284040097945","34.122","-118.261",,,"3.63","6.6","7.13"
"Jun 13, 2020 @ 21:01:21.000","note:dev:865284040097945","34.122","-118.261",,,"5.98","7.73","7.85"
"Jun 13, 2020 @ 20:52:20.000","note:dev:865284040095238","34.122","-118.261",,,"4.28","6.03","6.03"
"Jun 13, 2020 @ 20:52:15.000","note:dev:865284040095238","34.122","-118.261",,,"5.85","8.65","9.1"
"Jun 13, 2020 @ 20:49:34.000","note:dev:865284040102018","25.038","121.507",,,"15.58","25.58","29.05"
"Jun 13, 2020 @ 20:49:28.000","note:dev:865284040102018","25.038","121.507",,,"15.33","23.53","24.3"
"Jun 13, 2020 @ 20:43:28.000","note:dev:865284040083945","35.665","139.705",,,"27.05","44.15","59.58"
"Jun 13, 2020 @ 20:43:23.000","note:dev:865284040083945","35.665","139.705",,,"28.43","45.45","62.63"
"Jun 13, 2020 @ 20:41:35.000","safecast:3714913954","52.395","4.875",,,19,27,31
"Jun 13, 2020 @ 20:40:07.000","safecast:678194983","46.555","15.636",,,10,13,14
"Jun 13, 2020 @ 20:32:17.000","safecast:743902494","34.122","-118.261","51.673","-38.124",5,6,6
"Jun 13, 2020 @ 20:28:52.000","note:dev:865284040125878","34.483","136.163",,,"8.93","14.88","15.43"
"Jun 13, 2020 @ 20:28:47.000","note:dev:865284040125878","34.483","136.163",,,"7.98","11.43","12.45"
"Jun 13, 2020 @ 20:28:10.000","note:dev:865284040097879","34.065","-118.286",,,"4.7","6.4","6.93"
"Jun 13, 2020 @ 20:28:05.000","note:dev:865284040097879","34.065","-118.286",,,"5.05","6.28","6.38"
"Jun 13, 2020 @ 20:28:00.000","note:dev:865284040097879","34.065","-118.286",,,"6.03","7.08","7.83"
"Jun 13, 2020 @ 20:27:54.000","note:dev:865284040097879","34.065","-118.286",,,"24.03","29.93","33.4"
"Jun 13, 2020 @ 20:27:43.000","note:dev:865284040070785","34.122","-118.261",,,"7.03","11.33","11.63"
"Jun 13, 2020 @ 20:27:37.000","note:dev:865284040070785","34.122","-118.261",,,"7.5","12.13","12.2"
"Jun 13, 2020 @ 20:24:42.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.23","1.58"
"Jun 13, 2020 @ 20:24:37.000","note:dev:865284040125720","37.739","-122.503",,,0,0,0
"Jun 13, 2020 @ 20:24:32.000","note:dev:865284040125720","37.739","-122.503",,,0,0,"0.63"
"Jun 13, 2020 @ 20:24:27.000","note:dev:865284040125720","37.739","-122.503",,,0,0,"0.6"
"Jun 13, 2020 @ 20:21:05.000","note:dev:865284040101085","34.172","-118.057",,,"8.07","9.73","9.73"
"Jun 13, 2020 @ 20:20:39.000","note:dev:865284040101085","34.172","-118.057",,,"5.98","7.23","7.23"
"Jun 13, 2020 @ 20:20:34.000","note:dev:865284040101085","34.172","-118.057",,,"7.38",9,9
"Jun 13, 2020 @ 20:20:28.000","note:dev:865284040101085","34.172","-118.057",,,"7.4","8.9","9.4"
"Jun 13, 2020 @ 20:11:36.000","safecast:3714913954","52.395","4.875",,,17,21,22
"Jun 13, 2020 @ 20:10:07.000","safecast:678194983","46.555","15.636",,,9,12,13
"Jun 13, 2020 @ 19:41:47.000","safecast:3714913954","52.395","4.875",,,7,10,11
"Jun 13, 2020 @ 19:40:07.000","safecast:678194983","46.555","15.636",,,10,13,14
"Jun 13, 2020 @ 19:28:48.000","note:dev:865284040097879","34.065","-118.286",,,"5.1","6.53","7.58"
"Jun 13, 2020 @ 19:28:43.000","note:dev:865284040097879","34.065","-118.286",,,"7.6",9,"9.7"
"Jun 13, 2020 @ 19:28:37.000","note:dev:865284040097879","34.065","-118.286",,,"6.78","8.68","9.6"
"Jun 13, 2020 @ 19:28:32.000","note:dev:865284040097879","34.065","-118.286",,,"6.9","9.03","9.03"
"Jun 13, 2020 @ 19:24:02.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.45","0.45"
"Jun 13, 2020 @ 19:23:57.000","note:dev:865284040125720","37.739","-122.503",,,0,0,"0.95"
"Jun 13, 2020 @ 19:23:51.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.23","0.23"
"Jun 13, 2020 @ 19:20:47.000","note:dev:865284040101085","34.172","-118.057",,,"8.07","9.32","9.48"
"Jun 13, 2020 @ 19:20:42.000","note:dev:865284040101085","34.172","-118.057",,,"8.3","10.6","11.03"
"Jun 13, 2020 @ 19:20:37.000","note:dev:865284040101085","34.172","-118.057",,,"8.7","10.43","10.43"
"Jun 13, 2020 @ 19:20:32.000","note:dev:865284040101085","34.172","-118.057",,,"11.03","14.63","15.33"
"Jun 13, 2020 @ 19:11:36.000","safecast:3714913954","52.395","4.875",,,4,5,5
"Jun 13, 2020 @ 19:10:07.000","safecast:678194983","46.555","15.636",,,8,11,11
"Jun 13, 2020 @ 18:51:30.000","note:dev:865284040095238","34.122","-118.261",,,"8.68","12.4","12.65"
"Jun 13, 2020 @ 18:51:24.000","note:dev:865284040095238","34.122","-118.261",,,"13.1","17.73","17.88"
"Jun 13, 2020 @ 18:44:25.000","note:dev:865284040097945","34.122","-118.261",,,6,"7.38","7.38"
"Jun 13, 2020 @ 18:44:20.000","note:dev:865284040097945","34.122","-118.261",,,"5.33","6.78","7.08"
"Jun 13, 2020 @ 18:44:15.000","note:dev:865284040097945","34.122","-118.261",,,"5.23","7.05","7.13"
"Jun 13, 2020 @ 18:44:09.000","note:dev:865284040097945","34.122","-118.261",,,"5.98","7.6","7.68"
"Jun 13, 2020 @ 18:43:28.000","note:dev:865284040083945","35.665","139.705",,,"28.83","46.68","63.3"
"Jun 13, 2020 @ 18:43:23.000","note:dev:865284040083945","35.665","139.705",,,"27.65","44.8","60.15"
"Jun 13, 2020 @ 18:41:35.000","safecast:3714913954","52.395","4.875",,,2,3,3
"Jun 13, 2020 @ 18:40:07.000","safecast:678194983","46.555","15.636",,,8,10,11
"Jun 13, 2020 @ 18:38:52.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.08","0.68"
"Jun 13, 2020 @ 18:38:47.000","note:dev:865284040125720","37.739","-122.503",,,0,"2.85","4.58"
"Jun 13, 2020 @ 18:29:09.000","note:dev:865284040125878","34.483","136.163",,,"5.93","8.78","10.2"
"Jun 13, 2020 @ 18:29:04.000","note:dev:865284040125878","34.483","136.163",,,"5.7","8.25","8.28"
"Jun 13, 2020 @ 18:28:55.000","note:dev:865284040097879","34.065","-118.286",,,"34.63","40.35","43.65"
"Jun 13, 2020 @ 18:28:50.000","note:dev:865284040097879","34.065","-118.286",,,"5.98","8.2","8.73"
"Jun 13, 2020 @ 18:28:45.000","note:dev:865284040097879","34.065","-118.286",,,"9.35","11.15","12.13"
"Jun 13, 2020 @ 18:28:40.000","note:dev:865284040097879","34.065","-118.286",,,"7.55","9.93","10.58"
"Jun 13, 2020 @ 18:27:28.000","note:dev:865284040070785","34.122","-118.261",,,"10.53","16.13","17.18"
"Jun 13, 2020 @ 18:27:22.000","note:dev:865284040070785","34.122","-118.261",,,"10.68","18.35","19.77"
"Jun 13, 2020 @ 18:25:07.000","safecast:678194983","46.555","15.636",,,8,10,11
"Jun 13, 2020 @ 18:23:49.000","note:dev:865284040101085","34.172","-118.057",,,11,"13.35","13.63"
"Jun 13, 2020 @ 18:23:43.000","note:dev:865284040101085","34.172","-118.057",,,11,"13.68","13.68"
"Jun 13, 2020 @ 18:20:06.000","safecast:1045649384","37.739","-122.503","32.172","10.93",3,4,4
"Jun 13, 2020 @ 18:15:07.000","safecast:678194983","46.555","15.636",,,8,11,12
"Jun 13, 2020 @ 18:11:35.000","safecast:3714913954","52.395","4.875",,,2,3,3
